pitch_no,game_no,pa_of_inning,pitch_of_pa,batter_side,pitcher_throws,outs,balls,strikes,k_or_bb,hit_type,play_result,pitch_call,tagged_pitch_type,rel_speed,spin_rate,tilt,rel_height,rel_side,extension,vert_break,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,strike_prob,exit_speed,angle,direction,distance,bearing
1049,13,3,1,Right,Right,1,0,0,Undefined,Undefined,Undefined,StrikeSwinging,Slider,87.64784134,2266.245932,11:00,5.875784864,2.699569422,5.762225485,-29.53021937,6.910209433,-3.613411769,1.409740884,-0.790178095,0.086178303,NULL,NULL,NULL,NULL,NULL
1050,13,3,2,Right,Right,1,0,1,Undefined,Undefined,Undefined,FoulBall,Fastball,93.7149645,2431.283527,12:45,5.990410319,2.571475935,6.326087147,-15.87455936,15.18024905,7.341899985,3.373839803,-0.149926157,0.591515362,80.20792932,15.51794639,170.2737765,164.7298793,176.5983895
1051,13,3,3,Right,Right,1,0,2,Undefined,Undefined,Undefined,BallCalled,Slider,86.75667441,2289.804481,9:30,5.845076423,2.488664159,5.983856698,-36.81481257,0.352104746,-1.565020032,-5.56E-01,-1.310243758,3.00E-05,NULL,NULL,NULL,NULL,NULL
1052,13,3,4,Right,Right,1,1,2,Strikeout,Undefined,Undefined,StrikeSwinging,ChangeUp,84.88829728,1768.909614,2:30,5.775245854,2.702977348,6.496888437,-32.63449847,4.832185479,16.80462711,0.968880252,-0.235707355,0.000131136,NULL,NULL,NULL,NULL,NULL
1053,13,4,1,Left,Right,2,0,0,Undefined,Undefined,Undefined,BallCalled,Fastball,94.38366552,2415.048026,1:30,5.887224965,2.880803988,6.302469648,-19.88648922,10.50240174,10.9903807,3.199933916,1.588403244,0.000102951,NULL,NULL,NULL,NULL,NULL
1054,13,4,2,Left,Right,2,1,0,Undefined,Undefined,Undefined,BallCalled,ChangeUp,83.63640925,1518.83952,2:30,5.716802253,2.836981429,6.467851378,-35.44527357,3.21504994,16.06365419,1.333377952,0.900409698,0.056192264,NULL,NULL,NULL,NULL,NULL
1055,13,4,3,Left,Right,2,2,0,Undefined,GroundBall,Single,InPlay,Fastball,93.65184805,2433.024463,1:30,5.77055963,2.737522746,6.428502428,-19.67664559,11.29055539,1.09E+01,2.497362931,-0.059262658,0.997532606,112.5335081,6.981197533,39.53751482,144.7502397,44.64808294
1056,13,5,1,Right,Right,2,0,0,Undefined,Undefined,Undefined,StrikeSwinging,Slider,86.48592549,2146.728279,11:30,5.837139227,2.630718697,5.659847798,-33.43520326,3.616843913,-0.734912734,1.578524319,0.258643655,0.80386281,NULL,NULL,NULL,NULL,NULL
1057,13,5,2,Right,Right,2,0,1,Undefined,Undefined,Undefined,StrikeSwinging,Fastball,94.59335433,2357.162658,1:00,5.870084457,2.689088634,5.923906529,-16.14473073,14.59838303,8.961479777,2.553375818,-0.025523917,0.98879379,NULL,NULL,NULL,NULL,NULL
1058,13,5,3,Right,Right,2,0,2,Undefined,Undefined,Undefined,BallCalled,Fastball,94.15237938,2353.436635,1:30,5.78507084,2.750336351,5.909833895,-17.71497558,13.68746488,12.49223017,4.53E+00,-0.992308881,1.98E-05,NULL,NULL,NULL,NULL,NULL
1059,13,5,4,Right,Right,2,1,2,Undefined,Undefined,Undefined,BallCalled,Fastball,94.67023937,2454.603371,1:00,5.906745085,2.598871402,6.450024393,-14.82782888,15.56066803,9.605625782,3.818515908,-0.681719275,0.000455591,NULL,NULL,NULL,NULL,NULL
1060,13,5,5,Right,Right,2,2,2,Undefined,Undefined,Undefined,BallCalled,Slider,87.02732975,2098.732834,11:15,5.765902948,2.678250987,5.83954506,-32.02210257,4.780577214,-1.96E+00,0.358626251,-1.000006925,0.000119322,NULL,NULL,NULL,NULL,NULL
1061,13,5,6,Right,Right,2,3,2,Undefined,GroundBall,Single,InPlay,Fastball,94.84751936,2380.853645,1:30,5.816486466,2.607002617,6.103761499,-18.78787154,11.79299616,13.10583664,1.411223588,-0.351150206,0.252127826,107.1905028,0.505994206,-0.326862232,63.86795695,0.54123932
1062,13,6,1,Left,Right,2,0,0,Undefined,Undefined,Undefined,BallCalled,Fastball,93.28673513,2355.926145,1:30,5.825042064,2.805260002,5.979198332,-18.17353589,13.60812632,12.03387799,4.006943768,-0.282407443,0.00072862,NULL,NULL,NULL,NULL,NULL
1063,13,6,2,Left,Right,2,1,0,Undefined,Undefined,Undefined,StrikeCalled,Fastball,93.32842782,2363.005809,1:15,5.734774272,2.771714318,6.108743171,-19.01522035,12.48337899,9.24E+00,2.167741696,-0.591378247,0.965484142,NULL,NULL,NULL,NULL,NULL
1064,13,6,3,Left,Right,2,1,1,Undefined,Undefined,Undefined,StrikeCalled,Slider,86.70580087,2258.572648,10:30,5.770922047,2.661159159,5.857917593,-34.01998268,2.642948309,-2.876584648,2.106658791,-0.910377975,0.178452075,NULL,NULL,NULL,NULL,NULL
